"local";"rs";"bio1";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"clay_0_30cm";"npp";"ocd_clay_0_30cm";"ocs_clay_0_30cm";"ocs_sand_0_30cm";"sand_0_30cm";"soc_clay_0_30cm";"soc_sand_0_30cm"
1012;683;24,1499996185303;31,9500007629395;14,0500001907349;612,799987792969;159;6,19999980926514;104,300003051758;412,399993896484;27,6000003814697;252,199996948242;53;12,1999998092651;37,5999984741211;705,5;39,1500015258789;6,65000009536743;32,5;29,5499992370605;19,25;255,33332824707;973,299987792969;0,677545726299286;0,117493472993374;0,0782608687877655;383,333343505859;0,343342036008835;0,228695645928383
371;352,41;16,4500007629395;24,5499992370605;7,25;1528,59997558594;383,200012207031;17,1000003814697;90,0999984741211;883,099975585938;63,7000007629395;881,599975585938;63,7000007629395;6,5;24,7999992370605;665,900024414062;28,1499996185303;1,85000002384186;26,2999992370605;23,8500003814697;7,25;330;1872,19995117188;0,981818199157715;0,172727271914482;0,288364231586456;197,66667175293;0,836363613605499;1,39629006385803
371;400,77;16,4500007629395;24,5499992370605;7,25;1528,59997558594;383,200012207031;17,1000003814697;90,0999984741211;883,099975585938;63,7000007629395;881,599975585938;63,7000007629395;6,5;24,7999992370605;665,900024414062;28,1499996185303;1,85000002384186;26,2999992370605;23,8500003814697;7,25;330;1872,19995117188;0,981818199157715;0,172727271914482;0,288364231586456;197,66667175293;0,836363613605499;1,39629006385803
371;510,27;16,4500007629395;24,5499992370605;7,25;1528,59997558594;383,200012207031;17,1000003814697;90,0999984741211;883,099975585938;63,7000007629395;881,599975585938;63,7000007629395;6,5;24,7999992370605;665,900024414062;28,1499996185303;1,85000002384186;26,2999992370605;23,8500003814697;7,25;330;1872,19995117188;0,981818199157715;0,172727271914482;0,288364231586456;197,66667175293;0,836363613605499;1,39629006385803
533;198;17,5499992370605;28,1499996185303;6,25;1579;252,100006103516;41,2000007629395;48,2000007629395;664,700012207031;188,899993896484;610,400024414062;202,100006103516;7,40000009536743;23,6000003814697;848,799987792969;32,25;0,949999988079071;31,2999992370605;26,25;8,05000019073486;321;1908;0,926272094249725;0,15887850522995;0,264705866575241;192,66667175293;0,482866048812866;0,804498255252838
533;145;17,5499992370605;28,1499996185303;6,25;1579;252,100006103516;41,2000007629395;48,2000007629395;664,700012207031;188,899993896484;610,400024414062;202,100006103516;7,40000009536743;23,6000003814697;848,799987792969;32,25;0,949999988079071;31,2999992370605;26,25;8,05000019073486;321;1908;0,926272094249725;0,15887850522995;0,264705866575241;192,66667175293;0,482866048812866;0,804498255252838
384;585;16,9500007629395;25,1499996185303;7,84999990463257;1369,09997558594;363;10,3000001907349;103,099998474121;865,900024414062;43,9000015258789;865,900024414062;43,9000015258789;7,19999980926514;27,1000003814697;670,200012207031;29,0499992370605;2,45000004768372;26,6000003814697;25,1499996185303;7,84999990463257;337,666656494141;1750,90002441406;0,912142157554626;0,14807502925396;0,22624434530735;221;0,712734460830688;1,08898949623108
356;908,24;-0,25;7,94999980926514;-9,25;1504;304,399993896484;10,1000003814697;80,1999969482422;774,900024414062;43,0999984741211;774,900024414062;43,0999984741211;10,1999998092651;33,5999984741211;670,900024414062;11,9499998092651;-18,4500007629395;30,3999996185303;7,94999980926514;-9,25;168,33332824707;620,200012207031;2,68910884857178;0,582178235054016;0,216814160346985;452;4,02574300765991;1,49926257133484
356;643,34;-0,25;7,94999980926514;-9,25;1504;304,399993896484;10,1000003814697;80,1999969482422;774,900024414062;43,0999984741211;774,900024414062;43,0999984741211;10,1999998092651;33,5999984741211;670,900024414062;11,9499998092651;-18,4500007629395;30,3999996185303;7,94999980926514;-9,25;168,33332824707;620,200012207031;2,68910884857178;0,582178235054016;0,216814160346985;452;4,02574300765991;1,49926257133484
356;1135,31;-0,25;7,94999980926514;-9,25;1504;304,399993896484;10,1000003814697;80,1999969482422;774,900024414062;43,0999984741211;774,900024414062;43,0999984741211;10,1999998092651;33,5999984741211;670,900024414062;11,9499998092651;-18,4500007629395;30,3999996185303;7,94999980926514;-9,25;168,33332824707;620,200012207031;2,68910884857178;0,582178235054016;0,216814160346985;452;4,02574300765991;1,49926257133484
539;308;17,4500007629395;27,9500007629395;6,25;1612,19995117188;259,5;41,5;49;687,299987792969;192;628,599975585938;203,600006103516;7,69999980926514;24,6000003814697;843,900024414062;32,25;0,75;31,5;25,9500007629395;7,94999980926514;332,333343505859;1930,90002441406;0,791374087333679;0,147442325949669;0,233704283833504;209,66667175293;0,49247744679451;0,780604124069214
539;172;17,4500007629395;27,9500007629395;6,25;1612,19995117188;259,5;41,5;49;687,299987792969;192;628,599975585938;203,600006103516;7,69999980926514;24,6000003814697;843,900024414062;32,25;0,75;31,5;25,9500007629395;7,94999980926514;332,333343505859;1930,90002441406;0,791374087333679;0,147442325949669;0,233704283833504;209,66667175293;0,49247744679451;0,780604124069214
539;145;17,4500007629395;27,9500007629395;6,25;1612,19995117188;259,5;41,5;49;687,299987792969;192;628,599975585938;203,600006103516;7,69999980926514;24,6000003814697;843,900024414062;32,25;0,75;31,5;25,9500007629395;7,94999980926514;332,333343505859;1930,90002441406;0,791374087333679;0,147442325949669;0,233704283833504;209,66667175293;0,49247744679451;0,780604124069214
539;226;17,4500007629395;27,9500007629395;6,25;1612,19995117188;259,5;41,5;49;687,299987792969;192;628,599975585938;203,600006103516;7,69999980926514;24,6000003814697;843,900024414062;32,25;0,75;31,5;25,9500007629395;7,94999980926514;332,333343505859;1930,90002441406;0,791374087333679;0,147442325949669;0,233704283833504;209,66667175293;0,49247744679451;0,780604124069214
